geo_id,year,household
10,2019,2909.39
10,2020,2979.00
10,2021,2938.33
10,2022,3369.14
10,2023,3112.13
40,2019,519.50
40,2020,588.00
40,2021,595.29
40,2022,586.96
40,2023,633.49
50,2019,579.38
50,2020,603.78
50,2021,583.62
50,2022,663.11
50,2023,656.04
90,2019,464.81
90,2020,480.43
90,2021,503.82
90,2022,535.44
90,2023,553.11
